1,2,3,4,5,6,7,8,9,10,11,global
0.617499269,0.62096588,0.648190323,0.642156257,0.648190323,0.702001165,0.59802139,0.656998344,0.624857653,0.606897095,0.608022485,0.566629
0.652067187,0.63882385,0.695578959,0.688905837,0.695578959,0.726841941,0.652011357,0.645498067,0.705844729,0.659528499,0.653019566,0.658915
0.67471015,0.659357528,0.725888061,0.694541569,0.725888061,0.73721776,0.686561974,0.652297448,0.719872023,0.689473103,0.687605704,0.697406
0.685713864,0.673761953,0.737753681,0.698368759,0.737753681,0.738993366,0.707285425,0.659007458,0.717092736,0.707636334,0.706825474,0.717581
0.695648241,0.681078781,0.74215623,0.703133258,0.74215623,0.738852888,0.718141289,0.666345566,0.714285208,0.717783885,0.715509115,0.727733
0.697892783,0.685615838,0.743455746,0.705523216,0.743455746,0.738030151,0.725325558,0.670926016,0.714447995,0.724454914,0.721503721,0.734139
0.701333673,0.688425846,0.742600874,0.705145827,0.742600874,0.736482878,0.729976987,0.671967413,0.715379226,0.728682272,0.723111561,0.737373
0.700704858,0.691653706,0.740984641,0.702626202,0.740984641,0.734260531,0.733388919,0.674738582,0.718243179,0.731348556,0.723555754,0.739536
0.700495296,0.688447282,0.737792437,0.699639054,0.737792437,0.7313152,0.73600242,0.6736471,0.716870429,0.7333721,0.725366398,0.739871
0.698155289,0.687785252,0.734861001,0.694142534,0.734861001,0.726606808,0.73731497,0.676322051,0.716058598,0.734591783,0.720831783,0.739019
